iter	Passed	Remaining
650	1043	559
651	1044	557
652	1045	555
653	1046	553
654	1048	552
655	1049	550
656	1052	549
657	1054	547
658	1056	546
659	1057	544
660	1059	543
661	1060	541
662	1061	539
663	1062	537
664	1064	536
665	1066	534
666	1068	533
667	1070	531
668	1071	530
669	1073	528
670	1074	526
671	1075	525
672	1077	523
673	1078	521
674	1079	519
675	1081	518
676	1083	516
677	1085	515
678	1088	514
679	1089	512
680	1090	510
681	1092	509
682	1093	507
683	1094	505
684	1096	504
685	1098	502
686	1100	501
687	1102	499
688	1103	498
689	1104	496
690	1106	494
691	1107	493
692	1108	491
693	1110	489
694	1111	487
695	1114	486
696	1116	485
697	1118	483
698	1120	482
699	1121	480
700	1122	478
701	1124	477
702	1125	475
703	1127	474
704	1129	472
705	1131	471
706	1133	469
707	1135	468
708	1136	466
709	1138	464
710	1139	463
711	1140	461
712	1142	459
713	1144	458
714	1146	457
715	1148	455
716	1150	454
717	1151	452
718	1153	450
719	1155	449
720	1156	447
721	1158	446
722	1160	444
723	1162	443
724	1164	441
725	1166	440
726	1167	438
727	1169	436
728	1170	435
729	1171	433
730	1173	431
731	1175	430
732	1177	428
733	1179	427
734	1181	426
735	1183	424
736	1184	422
737	1185	420
738	1187	419
739	1188	417
740	1190	416
741	1192	414
742	1194	413
743	1196	411
744	1198	410
745	1200	408
746	1201	407
747	1203	405
748	1204	403
749	1206	402
750	1208	400
751	1210	399
752	1212	397
753	1214	396
754	1215	394
755	1216	392
756	1218	391
757	1220	389
758	1222	388
759	1224	386
760	1226	385
761	1228	383
762	1229	381
763	1231	380
764	1232	378
765	1234	377
766	1235	375
767	1237	373
768	1239	372
769	1241	370
770	1242	369
771	1244	367
772	1246	366
773	1248	364
774	1249	362
775	1252	361
776	1254	360
777	1257	358
778	1258	357
779	1259	355
780	1261	353
781	1262	352
782	1264	350
783	1265	348
784	1267	347
785	1269	345
786	1271	344
787	1273	342
788	1274	340
789	1276	339
790	1277	337
791	1278	335
792	1280	334
793	1281	332
794	1283	330
795	1285	329
796	1287	328
797	1289	326
798	1290	324
799	1292	323
800	1293	321
801	1294	319
802	1295	317
803	1296	316
804	1299	314
805	1301	313
806	1303	311
807	1304	310
808	1306	308
809	1308	306
810	1309	305
811	1310	303
812	1311	301
813	1313	300
814	1316	298
815	1318	297
816	1319	295
817	1321	293
818	1322	292
819	1323	290
820	1325	288
821	1326	287
822	1328	285
823	1330	284
824	1332	282
825	1334	281
826	1336	279
827	1337	277
828	1338	276
829	1340	274
830	1341	272
831	1343	271
832	1345	269
833	1347	268
834	1349	266
835	1351	265
836	1352	263
837	1353	261
838	1354	260
839	1356	258
840	1357	256
841	1358	255
842	1360	253
843	1362	251
844	1365	250
845	1366	248
846	1368	247
847	1369	245
848	1371	243
849	1372	242
850	1374	240
851	1376	239
852	1378	237
853	1381	236
854	1382	234
855	1384	232
856	1385	231
857	1387	229
858	1388	227
859	1389	226
860	1391	224
861	1394	223
862	1396	221
863	1398	220
864	1399	218
865	1401	216
866	1402	215
867	1403	213
868	1405	211
869	1407	210
870	1409	208
871	1411	207
872	1412	205
873	1414	203
874	1416	202
875	1417	200
876	1419	199
877	1420	197
878	1422	195
879	1424	194
880	1426	192
881	1428	191
882	1430	189
883	1431	187
884	1432	186
885	1434	184
886	1435	182
887	1436	181
888	1438	179
889	1441	178
890	1443	176
891	1444	174
892	1446	173
893	1447	171
894	1448	169
895	1450	168
896	1451	166
897	1453	165
898	1455	163
899	1457	161
900	1459	160
901	1460	158
902	1462	157
903	1463	155
904	1465	153
905	1466	152
906	1467	150
907	1469	148
908	1471	147
909	1473	145
910	1474	144
911	1476	142
912	1477	140
913	1479	139
914	1480	137
915	1481	135
916	1482	134
917	1484	132
918	1486	130
919	1488	129
920	1489	127
921	1491	126
922	1493	124
923	1494	122
924	1495	121
925	1497	119
926	1498	117
927	1500	116
928	1502	114
929	1505	113
930	1507	111
931	1508	110
932	1510	108
933	1511	106
934	1512	105
935	1513	103
936	1515	101
937	1518	100
938	1520	98
939	1522	97
940	1524	95
941	1525	93
942	1527	92
943	1528	90
944	1529	89
945	1531	87
946	1534	85
947	1536	84
948	1537	82
949	1539	81
950	1540	79
951	1541	77
952	1543	76
953	1544	74
954	1545	72
955	1547	71
956	1550	69
957	1552	68
958	1553	66
959	1554	64
960	1556	63
961	1557	61
962	1559	59
963	1560	58
964	1561	56
965	1563	55
966	1566	53
967	1568	51
968	1569	50
969	1570	48
970	1572	46
971	1573	45
972	1575	43
973	1576	42
974	1577	40
975	1580	38
976	1582	37
977	1584	35
978	1585	34
979	1586	32
980	1587	30
981	1589	29
982	1590	27
983	1591	25
984	1592	24
985	1595	22
986	1597	21
987	1598	19
988	1600	17
989	1601	16
990	1602	14
991	1603	12
992	1605	11
993	1606	9
994	1607	8
995	1609	6
996	1611	4
997	1613	3
998	1615	1
999	1617	0
